Ligands	Receptors	source	Organism	Ligands_bchi	Receptors_bchi	Ligands_atha_symbol	Ligands_atha_description	Receptors_atha_symbol	Receptors_atha_description
AT1G11580	AT3G54920	STRING	Arabidopsis thaliana	Bch09G069360	Bch07G024440	PMEI-PME18	methylesterase PCR A	PMR6	Pectin lyase-like superfamily protein
AT1G11590	AT3G54920	STRING	Arabidopsis thaliana	Bch09G069360	Bch07G024440	PMEI-PME19	Plant invertase/pectin methylesterase inhibitor superfamily	PMR6	Pectin lyase-like superfamily protein
AT1G12040	AT4G40090	STRING	Arabidopsis thaliana	Bch08G035850	Bch01G001010	LRX1	leucine-rich repeat/extensin 1	AGP3	arabinogalactan protein 3
AT1G12040	AT1G70460	STRING	Arabidopsis thaliana	Bch08G035850	Bch07G039310	LRX1	leucine-rich repeat/extensin 1		
AT1G12040	AT5G49270	STRING	Arabidopsis thaliana	Bch08G035850	Bch09G004890	LRX1	leucine-rich repeat/extensin 1	SHV2	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family
AT1G12040	AT4G34580	STRING	Arabidopsis thaliana	Bch08G035850	Bch08G019220	LRX1	leucine-rich repeat/extensin 1	COW1	Sec14p-like phosphatidylinositol transfer family protein
AT1G12040	AT2G20520	STRING	Arabidopsis thaliana	Bch08G035850	Bch06G049890	LRX1	leucine-rich repeat/extensin 1	FLA6	FASCICLIN-like arabinogalactan 6
AT1G12560	AT4G40090	STRING	Arabidopsis thaliana	Bch08G035570	Bch01G001010	EXPA7	expansin A7	AGP3	arabinogalactan protein 3
AT1G12560	AT1G70460	STRING	Arabidopsis thaliana	Bch08G035570	Bch07G039310	EXPA7	expansin A7		
AT1G12560	AT5G49270	STRING	Arabidopsis thaliana	Bch08G035570	Bch09G004890	EXPA7	expansin A7	SHV2	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family
AT1G12560	AT2G26420	STRING	Arabidopsis thaliana	Bch08G035570	Bch09G060060	EXPA7	expansin A7	None	1-phosphatidylinositol-4-phosphate 5-kinase 3
AT1G12560	AT2G41970	STRING	Arabidopsis thaliana	Bch08G035570	Bch03G023820	EXPA7	expansin A7	MRI	Protein kinase superfamily protein
AT1G12560	AT3G60280	STRING	Arabidopsis thaliana	Bch08G035570	Bch04G002110	EXPA7	expansin A7	UCC3	uclacyanin 3
AT1G12560	AT5G44610	STRING	Arabidopsis thaliana	Bch08G035570	Bch02G036800	EXPA7	expansin A7	MAP18	microtubule-associated protein 18
AT1G12560	AT4G34580	STRING	Arabidopsis thaliana	Bch08G035570	Bch08G019220	EXPA7	expansin A7	COW1	Sec14p-like phosphatidylinositol transfer family protein
AT1G13620	AT4G26540	STRING	Arabidopsis thaliana	Bch06G010230	Bch01G018400	RGF2	root meristem growth factor-like protein	RGFR3	Leucine-rich repeat receptor-like protein kinase family protein
AT1G13900	AT4G23260	STRING	Arabidopsis thaliana	Bch09G067570	Bch04G010010	PAP2	Purple acid phosphatases superfamily protein	CRK18	cysteine-rich RLK (RECEPTOR-like protein kinase) 18
AT1G14700	AT1G65590	STRING	Arabidopsis thaliana	Bch08G034590	Bch07G035220	PAP3	purple acid phosphatase 3	HEXO3	beta-hexosaminidase 3
AT1G15000	AT1G08230	STRING	Arabidopsis thaliana	Bch06G011940	Bch08G038050	scpl50	serine carboxypeptidase-like 50	None	Transmembrane amino acid transporter family protein
AT1G15020	AT1G24140	STRING	Arabidopsis thaliana	Bch06G011960	Bch09G045310	QSOX1	quiescin-sulfhydryl oxidase 1	AT3-MMP	Matrixin family protein
AT1G15020	AT2G45040	STRING	Arabidopsis thaliana	Bch06G011960	Bch05G005230	QSOX1	quiescin-sulfhydryl oxidase 1	None	Matrixin family protein
AT1G15020	AT1G59970	STRING	Arabidopsis thaliana	Bch06G011960	Bch09G018970	QSOX1	quiescin-sulfhydryl oxidase 1	AT5-MMP	Matrixin family protein
AT1G15020	AT1G70170	STRING	Arabidopsis thaliana	Bch06G011960	Bch07G033310	QSOX1	quiescin-sulfhydryl oxidase 1	MMP	matrix metalloproteinase
AT1G15020	AT4G16640	STRING	Arabidopsis thaliana	Bch06G011960	Bch03G050890	QSOX1	quiescin-sulfhydryl oxidase 1	AT1-MMP	Matrixin family protein
AT1G15190	AT1G19770	STRING	Arabidopsis thaliana	Bch06G012080	Bch08G032430	FLA19	Fasciclin-like arabinogalactan family protein	PUP14	purine permease 14
AT1G15190	AT2G24450	STRING	Arabidopsis thaliana	Bch06G012080	Bch09G061050	FLA19	Fasciclin-like arabinogalactan family protein	FLA3	FASCICLIN-like arabinogalactan protein 3 precursor
AT1G15190	AT3G46550	STRING	Arabidopsis thaliana	Bch06G012080	Bch06G023830	FLA19	Fasciclin-like arabinogalactan family protein	SOS5	Fasciclin-like arabinogalactan family protein
AT1G19940	AT5G19240	STRING	Arabidopsis thaliana	Bch07G018260	Bch05G045980	GH9B5	glycosyl hydrolase 9B5	None	Glycoprotein membrane precursor GPI-anchored
AT1G19940	AT4G12730	STRING	Arabidopsis thaliana	Bch07G018260	Bch01G026370	GH9B5	glycosyl hydrolase 9B5	FLA2	FASCICLIN-like arabinogalactan 2
AT1G19940	AT5G17420	STRING	Arabidopsis thaliana	Bch07G018260	Bch03G008630	GH9B5	glycosyl hydrolase 9B5	IRX3	Cellulose synthase family protein
AT1G19940	AT2G22125	STRING	Arabidopsis thaliana	Bch07G018260	Bch04G019370	GH9B5	glycosyl hydrolase 9B5	CSI1	binding protein
AT1G19940	AT4G18780	STRING	Arabidopsis thaliana	Bch07G018260	Bch03G052440	GH9B5	glycosyl hydrolase 9B5	IRX1	cellulose synthase family protein
AT1G19940	AT5G19250	STRING	Arabidopsis thaliana	Bch07G018260	Bch02G008850	GH9B5	glycosyl hydrolase 9B5	None	Glycoprotein membrane precursor GPI-anchored
AT1G19940	AT5G05170	STRING	Arabidopsis thaliana	Bch07G018260	Bch02G001770	GH9B5	glycosyl hydrolase 9B5	CEV1	Cellulose synthase family protein
AT1G19940	AT2G25540	STRING	Arabidopsis thaliana	Bch07G018260	Bch01G006050	GH9B5	glycosyl hydrolase 9B5	CESA10	cellulose synthase A catalytic subunit 3 UDP-forming-like protein
AT1G19940	AT3G06035	STRING	Arabidopsis thaliana	Bch07G018260	Bch05G045980	GH9B5	glycosyl hydrolase 9B5	None	Glycoprotein membrane precursor GPI-anchored
AT1G19940	AT4G32410	STRING	Arabidopsis thaliana	Bch07G018260	Bch03G062410	GH9B5	glycosyl hydrolase 9B5	CESA1	cellulose synthase 1
AT1G19940	AT5G19230	STRING	Arabidopsis thaliana	Bch07G018260	Bch02G008850	GH9B5	glycosyl hydrolase 9B5	None	Glycoprotein membrane precursor GPI-anchored
AT1G20160	AT1G70410	STRING	Arabidopsis thaliana	Bch06G016940	Bch02G022300	ATSBT5.2	Subtilisin-like serine endopeptidase family protein	BCA4	beta carbonic anhydrase 4
AT1G20190	AT4G25100	STRING	Arabidopsis thaliana	Bch07G018070	Bch01G016870	EXPA11	expansin 11	FSD1	Fe superoxide dismutase 1
AT1G21880	AT2G39660	STRING	Arabidopsis thaliana	Bch08G031410	Bch03G022510	LYP2	lysm domain GPI-anchored protein 1 precursor	BIK1	botrytis-induced kinase1
AT1G21880	AT1G51940	STRING	Arabidopsis thaliana	Bch08G031410	Bch06G002400	LYP2	lysm domain GPI-anchored protein 1 precursor		
AT1G21880	AT5G20480	STRING	Arabidopsis thaliana	Bch08G031410	Bch03G010280	LYP2	lysm domain GPI-anchored protein 1 precursor	EFR	EF-TU receptor
AT1G21880	AT3G21630	STRING	Arabidopsis thaliana	Bch08G031410	Bch05G030800	LYP2	lysm domain GPI-anchored protein 1 precursor	CERK1	chitin elicitor receptor kinase 1
AT1G21880	AT1G73080	STRING	Arabidopsis thaliana	Bch08G031410	Bch07G032070	LYP2	lysm domain GPI-anchored protein 1 precursor	PEPR1	PEP1 receptor 1
AT1G21880	AT2G33580	STRING	Arabidopsis thaliana	Bch08G031410	Bch04G028250	LYP2	lysm domain GPI-anchored protein 1 precursor	LYK5	Protein kinase superfamily protein
AT1G22690	AT5G39000	STRING	Arabidopsis thaliana	Bch09G046780	Bch09G049740	GASA9	Gibberellin-regulated family protein	MDS2	Malectin/receptor-like protein kinase family protein
AT1G22690	AT5G38990	STRING	Arabidopsis thaliana	Bch09G046780	Bch09G049740	GASA9	Gibberellin-regulated family protein	MDS1	Malectin/receptor-like protein kinase family protein
AT1G22690	AT3G01500	STRING	Arabidopsis thaliana	Bch09G046780	Bch05G047890	GASA9	Gibberellin-regulated family protein	CA1	carbonic anhydrase 1
AT1G26390	AT5G25260	STRING	Arabidopsis thaliana	Bch09G044310	Bch02G048710	AtBBE4	FAD-binding Berberine family protein	flot2	SPFH/Band 7/PHB domain-containing membrane-associated protein family
AT1G26420	AT5G25260	STRING	Arabidopsis thaliana	Bch09G044320	Bch02G048710	AtBBE7	FAD-binding Berberine family protein	flot2	SPFH/Band 7/PHB domain-containing membrane-associated protein family
AT1G26420	AT2G19190	STRING	Arabidopsis thaliana	Bch09G044320	Bch07G018560	AtBBE7	FAD-binding Berberine family protein	FRK1	FLG22-induced receptor-like kinase 1
AT1G26420	AT1G51890	STRING	Arabidopsis thaliana	Bch09G044320	Bch06G002430	AtBBE7	FAD-binding Berberine family protein	None	Leucine-rich repeat protein kinase family protein
AT1G26420	AT1G65690	STRING	Arabidopsis thaliana	Bch09G044320	Bch02G018830	AtBBE7	FAD-binding Berberine family protein	NHL6	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
AT1G26420	AT1G74360	STRING	Arabidopsis thaliana	Bch09G044320	Bch07G042580	AtBBE7	FAD-binding Berberine family protein	NILR1	Leucine-rich repeat protein kinase family protein
AT1G26600	AT1G75820	STRING	Arabidopsis thaliana	Bch08G030140	Bch07G043650	None	CLAVATA3/ESR-RELATED 9	CLV1	Leucine-rich receptor-like protein kinase family protein
AT1G26600	AT5G61480	STRING	Arabidopsis thaliana	Bch08G030140	Bch03G048040	None	CLAVATA3/ESR-RELATED 9	PXY	Leucine-rich repeat protein kinase family protein
AT1G28270	AT3G04690	STRING	Arabidopsis thaliana	Bch08G028430	Bch06G040350	RALFL4	ralf-like 4	ANX1	Malectin/receptor-like protein kinase family protein
AT1G28270	AT1G30570	STRING	Arabidopsis thaliana	Bch08G028430	Bch09G040100	RALFL4	ralf-like 4	HERK2	hercules receptor kinase 2
AT1G28270	AT2G20700	STRING	Arabidopsis thaliana	Bch08G028430	Bch03G058950	RALFL4	ralf-like 4	LLG2	LORELEI-LIKE-GPI ANCHORED PROTEIN 2
AT1G28290	AT2G14890	STRING	Arabidopsis thaliana	Bch09G042150	Bch09G011240	AGP31	arabinogalactan protein 31	AGP9	arabinogalactan protein 9
AT1G28290	AT2G04780	STRING	Arabidopsis thaliana	Bch09G042150	Bch03G045220	AGP31	arabinogalactan protein 31	FLA7	FASCICLIN-like arabinoogalactan 7
AT1G28290	AT1G68725	STRING	Arabidopsis thaliana	Bch09G042150	Bch06G019940	AGP31	arabinogalactan protein 31	AGP19	arabinogalactan protein 19
AT1G28490	AT2G33120	STRING	Arabidopsis thaliana	Bch07G013670	Bch05G012650	SYP61	syntaxin of plants 61	SAR1	synaptobrevin-related protein 1
AT1G28490	AT3G07160	STRING	Arabidopsis thaliana	Bch07G013670	Bch03G035690	SYP61	syntaxin of plants 61	None	glucan synthase-like 10
AT1G28490	AT4G19640	STRING	Arabidopsis thaliana	Bch07G013670	Bch01G011770	SYP61	syntaxin of plants 61	ARA7	Ras-related small GTP-binding family protein
AT1G28490	AT4G35100	STRING	Arabidopsis thaliana	Bch07G013670	Bch01G003500	SYP61	syntaxin of plants 61	PIP3	plasma membrane intrinsic protein 3
AT1G28490	AT2G32670	STRING	Arabidopsis thaliana	Bch07G013670	Bch03G018390	SYP61	syntaxin of plants 61	VAMP725	vesicle-associated membrane protein 725
AT1G28490	AT5G58060	STRING	Arabidopsis thaliana	Bch07G013670	Bch10G018500	SYP61	syntaxin of plants 61	YKT61	SNARE-like superfamily protein
AT1G28490	AT3G11820	STRING	Arabidopsis thaliana	Bch07G013670	Bch03G037790	SYP61	syntaxin of plants 61	SYP121	syntaxin of plants 121
AT1G28490	AT1G04750	STRING	Arabidopsis thaliana	Bch07G013670	Bch10G004230	SYP61	syntaxin of plants 61	VAMP721	vesicle-associated membrane protein 721
AT1G28490	AT5G58180	STRING	Arabidopsis thaliana	Bch07G013670	Bch10G018500	SYP61	syntaxin of plants 61	ATYKT62	Synaptobrevin family protein
AT1G28490	AT4G15780	STRING	Arabidopsis thaliana	Bch07G013670	Bch01G022630	SYP61	syntaxin of plants 61	VAMP724	vesicle-associated membrane protein 724
AT1G28490	AT5G08080	STRING	Arabidopsis thaliana	Bch07G013670	Bch02G002870	SYP61	syntaxin of plants 61	SYP132	syntaxin of plants 132
AT1G28490	AT5G45750	STRING	Arabidopsis thaliana	Bch07G013670	Bch02G037700	SYP61	syntaxin of plants 61	RABA1c	RAB GTPase homolog A1C
AT1G28490	AT1G04760	STRING	Arabidopsis thaliana	Bch07G013670	Bch03G018390	SYP61	syntaxin of plants 61	VAMP726	vesicle-associated membrane protein 726
AT1G29660	AT1G18280	STRING	Arabidopsis thaliana	Bch08G027750	Bch08G033250	GGL5	GDSL-like Lipase/Acylhydrolase superfamily protein	LTPG3	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G29670	AT5G10770	STRING	Arabidopsis thaliana	Bch08G027740	Bch10G030360	GDSL1	GDSL-like Lipase/Acylhydrolase superfamily protein	None	Eukaryotic aspartyl protease family protein
AT1G29670	AT1G18280	STRING	Arabidopsis thaliana	Bch08G027740	Bch08G033250	GDSL1	GDSL-like Lipase/Acylhydrolase superfamily protein	LTPG3	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G30700	AT5G22300	STRING	Arabidopsis thaliana	Bch09G039880	Bch02G010690	AtBBE8	FAD-binding Berberine family protein	NIT4	nitrilase 4
AT1G30700	AT5G57090	STRING	Arabidopsis thaliana	Bch09G039880	Bch03G013290	AtBBE8	FAD-binding Berberine family protein	EIR1	Auxin efflux carrier family protein
AT1G30700	AT4G15610	STRING	Arabidopsis thaliana	Bch09G039880	Bch03G050060	AtBBE8	FAD-binding Berberine family protein	CASPL1D1	Uncharacterized protein family (UPF0497)
AT1G30710	AT5G10770	STRING	Arabidopsis thaliana	Bch07G012240	Bch10G030360	AtBBE9	FAD-binding Berberine family protein	None	Eukaryotic aspartyl protease family protein
AT1G30760	AT5G64440	STRING	Arabidopsis thaliana	Bch07G012190	Bch06G033060	None	FAD-binding Berberine family protein	FAAH	fatty acid amide hydrolase
AT1G30870	AT4G19680	STRING	Arabidopsis thaliana	Bch07G012080	Bch01G011850	PER7	Peroxidase superfamily protein	IRT2	iron regulated transporter 2
AT1G30870	AT4G40090	STRING	Arabidopsis thaliana	Bch07G012080	Bch01G001010	PER7	Peroxidase superfamily protein	AGP3	arabinogalactan protein 3
AT1G30870	AT5G49270	STRING	Arabidopsis thaliana	Bch07G012080	Bch09G004890	PER7	Peroxidase superfamily protein	SHV2	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family
AT1G31550	AT5G43470	STRING	Arabidopsis thaliana	Bch09G041830	Bch05G009730	None	GDSL-like Lipase/Acylhydrolase superfamily protein	RPP8	Disease resistance protein (CC-NBS-LRR class) family
AT1G31670	AT1G24140	STRING	Arabidopsis thaliana	Bch08G012900	Bch09G045310	None	Copper amine oxidase family protein	AT3-MMP	Matrixin family protein
AT1G31670	AT2G45040	STRING	Arabidopsis thaliana	Bch08G012900	Bch05G005230	None	Copper amine oxidase family protein	None	Matrixin family protein
AT1G31670	AT1G59970	STRING	Arabidopsis thaliana	Bch08G012900	Bch09G018970	None	Copper amine oxidase family protein	AT5-MMP	Matrixin family protein
AT1G31670	AT1G70170	STRING	Arabidopsis thaliana	Bch08G012900	Bch07G033310	None	Copper amine oxidase family protein	MMP	matrix metalloproteinase
AT1G31670	AT4G16640	STRING	Arabidopsis thaliana	Bch08G012900	Bch03G050890	None	Copper amine oxidase family protein	AT1-MMP	Matrixin family protein
AT1G32860	AT4G26690	STRING	Arabidopsis thaliana	Bch09G037370	Bch01G018560	None	Glycosyl hydrolase superfamily protein	SHV3	PLC-like phosphodiesterase family protein
AT1G32860	AT5G55480	STRING	Arabidopsis thaliana	Bch09G037370	Bch10G014810	None	Glycosyl hydrolase superfamily protein	SVL1	SHV3-like 1
AT1G34047	AT5G05630	STRING	Arabidopsis thaliana	Bch01G033490	Bch10G034420	DEFL208	Defensin-like (DEFL) family protein	RMV1	Amino acid permease family protein
AT1G34047	AT1G31820	STRING	Arabidopsis thaliana	Bch01G033490	Bch09G038610	DEFL208	Defensin-like (DEFL) family protein	PUT1	Amino acid permease family protein
AT1G34047	AT3G19553	STRING	Arabidopsis thaliana	Bch01G033490	Bch01G039000	DEFL208	Defensin-like (DEFL) family protein	PUT5	Amino acid permease family protein
AT1G34047	AT1G31830	STRING	Arabidopsis thaliana	Bch01G033490	Bch09G038600	DEFL208	Defensin-like (DEFL) family protein	PUT2	Amino acid permease family protein
AT1G34245	AT5G60880	STRING	Arabidopsis thaliana	Bch09G035810	Bch09G007370	EPF2	Putative membrane lipoprotein	BASL	breaking of asymmetry in the stomatal lineage
AT1G34245	AT1G63700	STRING	Arabidopsis thaliana	Bch09G035810	Bch09G016320	EPF2	Putative membrane lipoprotein	YDA	Protein kinase superfamily protein
AT1G34245	AT2G26330	STRING	Arabidopsis thaliana	Bch09G035810	Bch09G060090	EPF2	Putative membrane lipoprotein	ER	Leucine-rich receptor-like protein kinase family protein
AT1G34245	AT1G80080	STRING	Arabidopsis thaliana	Bch09G035810	Bch07G028460	EPF2	Putative membrane lipoprotein	TMM	Leucine-rich repeat (LRR) family protein
AT1G34245	AT5G62230	STRING	Arabidopsis thaliana	Bch09G035810	Bch06G030520	EPF2	Putative membrane lipoprotein	ERL1	ERECTA-like 1
AT1G34245	AT2G02220	STRING	Arabidopsis thaliana	Bch09G035810	Bch06G046220	EPF2	Putative membrane lipoprotein	PSKR1	phytosulfokin receptor 1
AT1G34245	AT5G07180	STRING	Arabidopsis thaliana	Bch09G035810	Bch10G032660	EPF2	Putative membrane lipoprotein	ERL2	ERECTA-like 2
AT1G34510	AT4G40090	STRING	Arabidopsis thaliana	Bch03G057330	Bch01G001010	PRX8	Peroxidase superfamily protein	AGP3	arabinogalactan protein 3
AT1G34510	AT2G20520	STRING	Arabidopsis thaliana	Bch03G057330	Bch06G049890	PRX8	Peroxidase superfamily protein	FLA6	FASCICLIN-like arabinogalactan 6
AT1G35140	AT2G27080	STRING	Arabidopsis thaliana	Bch03G028640	Bch03G027170	PHI-1	Phosphate-responsive 1 family protein	NHL13	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
